"","Tester","Piwo","Rodzaj","Ocena"
"1","T1","P1","Jasne",3
"2","T1","P10","Smakowe",0
"3","T1","P11","Smakowe",-2
"4","T1","P12","Przeniczne",1
"5","T1","P13","Przeniczne",3
"6","T1","P14","Przeniczne",3
"7","T1","P15","Przeniczne",2
"8","T1","P16","Ciemne",-1
"9","T1","P17","Jasne",3
"10","T1","P18","Ciemne",3
"11","T1","P19","Ciemne",2
"12","T1","P2","Jasne",3
"13","T1","P20","Jasne",-3
"14","T1","P3","Jasne",2
"15","T1","P4","Ciemne",3
"16","T1","P5","Ciemne",3
"17","T1","P6","Ciemne",3
"18","T1","P7","Smakowe",-3
"19","T1","P8","Smakowe",-2
"20","T1","P9","Smakowe",-2
"21","T2","P1","Jasne",0
"22","T2","P10","Smakowe",3
"23","T2","P11","Smakowe",2
"24","T2","P12","Przeniczne",3
"25","T2","P13","Przeniczne",3
"26","T2","P14","Przeniczne",3
"27","T2","P15","Przeniczne",3
"28","T2","P16","Ciemne",-2
"29","T2","P17","Jasne",1
"30","T2","P18","Ciemne",-1
"31","T2","P19","Ciemne",-2
"32","T2","P2","Jasne",-3
"33","T2","P20","Jasne",-2
"34","T2","P3","Jasne",-2
"35","T2","P4","Ciemne",1
"36","T2","P5","Ciemne",1
"37","T2","P6","Ciemne",1
"38","T2","P7","Smakowe",2
"39","T2","P8","Smakowe",3
"40","T2","P9","Smakowe",1
"41","T3","P1","Jasne",0
"42","T3","P10","Smakowe",3
"43","T3","P11","Smakowe",2
"44","T3","P12","Przeniczne",-1
"45","T3","P13","Przeniczne",2
"46","T3","P14","Przeniczne",-1
"47","T3","P15","Przeniczne",-3
"48","T3","P16","Ciemne",-2
"49","T3","P17","Jasne",3
"50","T3","P18","Ciemne",3
"51","T3","P19","Ciemne",1
"52","T3","P2","Jasne",-1
"53","T3","P20","Jasne",0
"54","T3","P3","Jasne",-2
"55","T3","P4","Ciemne",0
"56","T3","P5","Ciemne",3
"57","T3","P6","Ciemne",1
"58","T3","P7","Smakowe",-1
"59","T3","P8","Smakowe",1
"60","T3","P9","Smakowe",2
"61","T4","P1","Jasne",3
"62","T4","P10","Smakowe",-3
"63","T4","P11","Smakowe",-1
"64","T4","P12","Przeniczne",1
"65","T4","P13","Przeniczne",3
"66","T4","P14","Przeniczne",3
"67","T4","P15","Przeniczne",-1
"68","T4","P16","Ciemne",0
"69","T4","P17","Jasne",3
"70","T4","P18","Ciemne",3
"71","T4","P19","Ciemne",2
"72","T4","P2","Jasne",0
"73","T4","P20","Jasne",1
"74","T4","P3","Jasne",1
"75","T4","P4","Ciemne",3
"76","T4","P5","Ciemne",3
"77","T4","P6","Ciemne",3
"78","T4","P7","Smakowe",-1
"79","T4","P8","Smakowe",-3
"80","T4","P9","Smakowe",-3
"81","T5","P1","Jasne",2
"82","T5","P10","Smakowe",0
"83","T5","P11","Smakowe",0
"84","T5","P12","Przeniczne",-3
"85","T5","P13","Przeniczne",0
"86","T5","P14","Przeniczne",3
"87","T5","P15","Przeniczne",1
"88","T5","P16","Ciemne",-2
"89","T5","P17","Jasne",3
"90","T5","P18","Ciemne",2
"91","T5","P19","Ciemne",1
"92","T5","P2","Jasne",-3
"93","T5","P20","Jasne",0
"94","T5","P3","Jasne",2
"95","T5","P4","Ciemne",2
"96","T5","P5","Ciemne",3
"97","T5","P6","Ciemne",3
"98","T5","P7","Smakowe",0
"99","T5","P8","Smakowe",2
"100","T5","P9","Smakowe",-2
"101","T6","P1","Jasne",3
"102","T6","P10","Smakowe",3
"103","T6","P11","Smakowe",3
"104","T6","P12","Przeniczne",3
"105","T6","P13","Przeniczne",3
"106","T6","P14","Przeniczne",3
"107","T6","P15","Przeniczne",-2
"108","T6","P16","Ciemne",-1
"109","T6","P17","Jasne",3
"110","T6","P18","Ciemne",1
"111","T6","P19","Ciemne",3
"112","T6","P2","Jasne",2
"113","T6","P20","Jasne",0
"114","T6","P3","Jasne",1
"115","T6","P4","Ciemne",-2
"116","T6","P5","Ciemne",3
"117","T6","P6","Ciemne",-3
"118","T6","P7","Smakowe",-1
"119","T6","P8","Smakowe",2
"120","T6","P9","Smakowe",3
